Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,LoanIncomeRatio,EMI
1,0,0,0,0,5849,0.0,128.0,360.0,1.0,2,1,5849.0,0.021884082749187895,355.55555555555554
1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0,6091.0,0.0210146117222131,355.55555555555554
1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,3000.0,0.022,183.33333333333334
1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,4941.0,0.024286581663630843,333.3333333333333
1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,6000.0,0.0235,391.6666666666667
1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,9613.0,0.027774888172266723,741.6666666666666
1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,3849.0,0.024681735515718367,263.8888888888889
1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,5540.0,0.02851985559566787,438.8888888888889
1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,5532.0,0.03036876355748373,466.6666666666667
1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,23809.0,0.014658322483094628,969.4444444444445
1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,3900.0,0.017948717948717947,194.44444444444446
1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,2,1,4340.0,0.02511520737327189,302.77777777777777
1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,11179.0,0.01789068789694964,555.5555555555555
1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,4693.0,0.024291497975708502,316.6666666666667
1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,2385.0,0.007127882599580713,141.66666666666666
1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,4950.0,0.025252525252525252,347.22222222222223
1,0,1,1,0,3596,0.0,100.0,240.0,1.0,2,1,3596.0,0.027808676307007785,416.6666666666667
0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0,3510.0,0.021652421652421653,211.11111111111111
1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0,4887.0,0.027215060364231634,369.44444444444446
1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,2,1,6100.0,0.018852459016393444,319.44444444444446
1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0,7660.0,0.013577023498694517,288.8888888888889
1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1,11580.0,0.027202072538860103,875.0
1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,4511.0,0.025714919086677012,322.22222222222223
1,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0,0,5282.0,0.021204089360090876,311.1111111111111
1,1,1,0,0,3717,2925.0,151.0,360.0,1.0,1,0,6642.0,0.02273411623005119,419.44444444444446
1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1,9560.0,0.01997907949790795,530.5555555555555
1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,5052.0,0.02414885193982581,338.8888888888889
1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1,5266.0,0.020888720091150777,305.55555555555554
1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0,1442.0,0.024271844660194174,97.22222222222223
0,0,2,0,0,3750,2083.0,120.0,360.0,1.0,1,1,5833.0,0.020572604148808505,333.3333333333333
1,1,1,0,0,4166,3369.0,201.0,360.0,1.0,2,0,7535.0,0.026675514266755143,558.3333333333334
1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0,3167.0,0.023365961477739186,205.55555555555554
1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0,4692.0,0.022591645353793693,294.44444444444446
1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,5167.0,0.022063092703696534,316.6666666666667
1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0,15500.0,0.02064516129032258,888.8888888888889
1,1,0,0,0,2275,2067.0,128.0,360.0,1.0,2,1,4342.0,0.02947950253339475,355.55555555555554
1,1,0,0,0,1828,1330.0,100.0,360.0,0.0,2,0,3158.0,0.031665611146295125,277.77777777777777
0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1,5126.0,0.02809207959422552,400.0
1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,1,11376.0,0.01617440225035162,511.1111111111111
1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1,5416.0,0.02031019202363368,305.55555555555554
1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,0,3600.0,0.022222222222222223,222.22222222222223
1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,1,3013.0,0.015599070693660804,130.55555555555554
1,1,0,0,0,2400,0.0,75.0,360.0,1.0,2,1,2400.0,0.03125,208.33333333333334
1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,1,6277.0,0.021347777600764697,372.22222222222223
1,1,0,1,1,4695,0.0,96.0,360.0,1.0,2,1,4695.0,0.020447284345047924,266.6666666666667
0,0,0,0,0,3410,0.0,88.0,360.0,1.0,2,1,3410.0,0.025806451612903226,244.44444444444446
1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2,1,5649.0,0.007788989201628607,122.22222222222223
1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,1,5821.0,0.02473801752276241,400.0
0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,2,0,6085.0,0.01972062448644207,333.3333333333333
0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,1,1,6275.0,0.022948207171314742,400.0
0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,1,3572.0,0.027995520716685332,277.77777777777777
0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,1,3086.0,0.03888528839922229,333.3333333333333
0,0,0,0,0,4230,0.0,112.0,360.0,1.0,1,0,4230.0,0.026477541371158392,311.1111111111111
1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,0,4616.0,0.02902946273830156,372.22222222222223
0,1,1,0,1,11500,0.0,286.0,360.0,0.0,2,0,11500.0,0.024869565217391306,794.4444444444445
1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,1,1,3875.0,0.02503225806451613,269.44444444444446
1,1,0,0,0,2132,1591.0,96.0,360.0,1.0,1,1,3723.0,0.0257856567284448,266.6666666666667
1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,0,5566.0,0.024254401724757457,375.0
1,1,1,0,0,8080,2250.0,180.0,360.0,1.0,2,1,10330.0,0.017424975798644726,500.0
1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,2,1,6216.0,0.023166023166023165,400.0
1,1,0,0,0,2500,3796.0,120.0,360.0,1.0,2,1,6296.0,0.01905972045743329,333.3333333333333
1,1,3,0,0,3029,0.0,99.0,360.0,1.0,2,1,3029.0,0.03268405414328161,275.0
1,1,0,1,1,2609,3449.0,165.0,180.0,0.0,0,0,6058.0,0.02723671178606801,916.6666666666666
1,1,1,0,0,4945,0.0,128.0,360.0,0.0,0,0,4945.0,0.025884732052578362,355.55555555555554
0,0,0,0,0,4166,0.0,116.0,360.0,0.0,1,0,4166.0,0.02784445511281805,322.22222222222223
1,1,0,0,0,5726,4595.0,258.0,360.0,1.0,1,0,10321.0,0.024997577754093597,716.6666666666666
1,0,0,1,0,3200,2254.0,126.0,180.0,0.0,2,0,5454.0,0.0231023102310231,700.0
1,1,1,0,0,10750,0.0,312.0,360.0,1.0,2,1,10750.0,0.02902325581395349,866.6666666666666
1,1,3,1,1,7100,0.0,125.0,60.0,1.0,2,1,7100.0,0.017605633802816902,2083.3333333333335
0,0,0,0,0,4300,0.0,136.0,360.0,0.0,1,0,4300.0,0.03162790697674418,377.77777777777777
1,1,0,0,0,3208,3066.0,172.0,360.0,1.0,2,1,6274.0,0.027414727446605038,477.77777777777777
1,1,2,1,1,1875,1875.0,97.0,360.0,1.0,1,1,3750.0,0.025866666666666666,269.44444444444446
1,0,0,0,0,3500,0.0,81.0,300.0,1.0,1,1,3500.0,0.023142857142857142,270.0
1,1,3,1,0,4755,0.0,95.0,360.0,0.0,1,0,4755.0,0.019978969505783387,263.8888888888889
1,1,3,0,1,5266,1774.0,187.0,360.0,1.0,1,1,7040.0,0.0265625,519.4444444444445
1,0,0,0,0,3750,0.0,113.0,480.0,1.0,2,0,3750.0,0.030133333333333335,235.41666666666666
1,0,0,0,0,3750,4750.0,176.0,360.0,1.0,2,0,8500.0,0.020705882352941178,488.8888888888889
1,1,1,0,1,1000,3022.0,110.0,360.0,1.0,2,0,4022.0,0.02734957732471407,305.55555555555554
1,1,3,0,0,3167,4000.0,180.0,300.0,0.0,1,0,7167.0,0.025115110925073254,600.0
1,1,3,1,1,3333,2166.0,130.0,360.0,1.0,1,1,5499.0,0.02364066193853428,361.1111111111111
0,0,0,0,0,3846,0.0,111.0,360.0,1.0,1,1,3846.0,0.028861154446177848,308.3333333333333
1,1,1,0,1,2395,0.0,128.0,360.0,1.0,1,1,2395.0,0.05344467640918581,355.55555555555554
0,1,2,0,0,1378,1881.0,167.0,360.0,1.0,2,0,3259.0,0.0512427124884934,463.8888888888889
1,1,0,0,0,6000,2250.0,265.0,360.0,1.0,1,0,8250.0,0.03212121212121212,736.1111111111111
1,1,1,0,0,3988,0.0,50.0,240.0,1.0,2,1,3988.0,0.012537612838515547,208.33333333333334
1,0,0,0,0,2366,2531.0,136.0,360.0,1.0,1,1,4897.0,0.027772105370635083,377.77777777777777
1,1,2,1,0,3333,2000.0,99.0,360.0,1.0,1,1,5333.0,0.0185636602287643,275.0
1,1,0,0,0,2500,2118.0,104.0,360.0,1.0,1,1,4618.0,0.02252057167605024,288.8888888888889
1,0,0,0,0,8566,0.0,210.0,360.0,1.0,2,1,8566.0,0.02451552650011674,583.3333333333334
1,1,0,0,0,5695,4167.0,175.0,360.0,1.0,1,1,9862.0,0.017744879334820524,486.1111111111111
1,1,0,0,0,2958,2900.0,131.0,360.0,1.0,1,1,5858.0,0.022362581085694777,363.8888888888889
1,1,2,0,0,6250,5654.0,188.0,180.0,1.0,1,1,11904.0,0.015793010752688172,1044.4444444444443
1,1,2,1,0,3273,1820.0,81.0,360.0,1.0,2,1,5093.0,0.015904182210877676,225.0
1,0,0,0,0,4133,0.0,122.0,360.0,1.0,1,1,4133.0,0.029518509557222357,338.8888888888889
1,0,0,1,0,3620,0.0,25.0,120.0,1.0,1,1,3620.0,0.006906077348066298,208.33333333333334
1,0,0,0,0,6782,0.0,128.0,360.0,1.0,2,0,6782.0,0.018873488646416987,355.55555555555554
0,1,0,0,0,2484,2302.0,137.0,360.0,1.0,1,1,4786.0,0.028625156707062265,380.55555555555554
1,1,0,0,0,1977,997.0,50.0,360.0,1.0,1,1,2974.0,0.016812373907195696,138.88888888888889
1,1,0,1,0,4188,0.0,115.0,180.0,1.0,1,1,4188.0,0.027459407831900668,638.8888888888889
1,1,0,0,0,1759,3541.0,131.0,360.0,1.0,1,1,5300.0,0.02471698113207547,363.8888888888889
1,1,2,1,0,4288,3263.0,133.0,180.0,1.0,2,1,7551.0,0.01761356111773275,738.8888888888889
1,0,0,0,0,4843,3806.0,151.0,360.0,1.0,1,1,8649.0,0.017458665741704245,419.44444444444446
1,1,0,0,0,13650,0.0,128.0,360.0,1.0,2,1,13650.0,0.009377289377289377,355.55555555555554
1,1,0,0,0,4652,3583.0,128.0,360.0,1.0,1,1,8235.0,0.01554341226472374,355.55555555555554
1,1,0,0,0,3816,754.0,160.0,360.0,1.0,2,1,4570.0,0.0350109409190372,444.44444444444446
1,1,1,0,0,3052,1030.0,100.0,360.0,1.0,2,1,4082.0,0.02449779519843214,277.77777777777777
1,1,2,0,0,11417,1126.0,225.0,360.0,1.0,2,1,12543.0,0.01793829227457546,625.0
1,0,0,1,0,7333,0.0,120.0,360.0,1.0,0,0,7333.0,0.01636438019909996,333.3333333333333
1,1,2,0,0,3800,3600.0,216.0,360.0,0.0,2,0,7400.0,0.02918918918918919,600.0
1,1,3,1,0,2071,754.0,94.0,480.0,1.0,1,1,2825.0,0.03327433628318584,195.83333333333334
1,0,0,0,0,5316,0.0,136.0,360.0,1.0,2,1,5316.0,0.025583145221971408,377.77777777777777
0,1,0,0,0,2929,2333.0,139.0,360.0,1.0,1,1,5262.0,0.026415811478525276,386.1111111111111
1,1,0,1,0,3572,4114.0,152.0,360.0,0.0,0,0,7686.0,0.019776216497527973,422.22222222222223
0,0,1,0,1,7451,0.0,128.0,360.0,1.0,1,1,7451.0,0.01717890216078379,355.55555555555554
1,0,0,0,0,5050,0.0,118.0,360.0,1.0,1,1,5050.0,0.023366336633663366,327.77777777777777
1,1,1,0,0,14583,0.0,185.0,180.0,1.0,0,1,14583.0,0.012686004251525749,1027.7777777777778
0,1,0,0,0,3167,2283.0,154.0,360.0,1.0,1,1,5450.0,0.028256880733944955,427.77777777777777
1,1,1,0,0,2214,1398.0,85.0,360.0,1.0,2,1,3612.0,0.02353266888150609,236.11111111111111
1,1,0,0,0,5568,2142.0,175.0,360.0,1.0,0,0,7710.0,0.022697795071335927,486.1111111111111
0,0,0,0,0,10408,0.0,259.0,360.0,1.0,2,1,10408.0,0.024884704073789392,719.4444444444445
1,1,0,0,0,5667,2667.0,180.0,360.0,1.0,0,1,8334.0,0.02159827213822894,500.0
0,0,0,0,0,4166,0.0,44.0,360.0,1.0,1,1,4166.0,0.01056168987037926,122.22222222222223
0,0,0,0,0,2137,8980.0,137.0,360.0,0.0,1,1,11117.0,0.01232346856166232,380.55555555555554
1,1,2,0,0,2957,0.0,81.0,360.0,1.0,1,1,2957.0,0.027392627663172135,225.0
1,1,0,1,0,4300,2014.0,194.0,360.0,1.0,0,1,6314.0,0.030725372188786824,538.8888888888889
0,0,0,0,0,3692,0.0,93.0,360.0,1.0,0,1,3692.0,0.025189599133261104,258.3333333333333
1,1,3,0,0,23803,0.0,370.0,360.0,1.0,0,1,23803.0,0.015544259127000798,1027.7777777777778
1,0,0,0,0,3865,1640.0,128.0,360.0,1.0,0,1,5505.0,0.023251589464123524,355.55555555555554
1,1,1,0,1,10513,3850.0,160.0,180.0,0.0,2,0,14363.0,0.011139734038849823,888.8888888888889
1,1,0,0,0,6080,2569.0,182.0,360.0,1.0,0,0,8649.0,0.021042895132385248,505.55555555555554
1,0,0,0,1,20166,0.0,650.0,480.0,1.0,2,1,20166.0,0.03223247049489239,1354.1666666666667
1,0,0,0,0,2014,1929.0,74.0,360.0,1.0,2,1,3943.0,0.018767435962465127,205.55555555555554
1,0,0,0,0,2718,0.0,70.0,360.0,1.0,1,1,2718.0,0.025754231052244298,194.44444444444446
1,1,0,0,1,3459,0.0,25.0,120.0,1.0,1,1,3459.0,0.007227522405319456,208.33333333333334
1,0,0,0,0,4895,0.0,102.0,360.0,1.0,1,1,4895.0,0.020837589376915218,283.3333333333333
1,1,3,0,0,4000,7750.0,290.0,360.0,1.0,1,0,11750.0,0.02468085106382979,805.5555555555555
0,1,0,0,0,4583,0.0,84.0,360.0,1.0,0,0,4583.0,0.0183286057167794,233.33333333333334
1,1,2,0,1,3316,3500.0,88.0,360.0,1.0,2,1,6816.0,0.012910798122065728,244.44444444444446
1,0,0,0,0,14999,0.0,242.0,360.0,0.0,1,0,14999.0,0.016134408960597372,672.2222222222222
1,1,2,1,0,4200,1430.0,129.0,360.0,1.0,0,0,5630.0,0.022912966252220248,358.3333333333333
1,1,2,0,0,5042,2083.0,185.0,360.0,1.0,0,0,7125.0,0.025964912280701753,513.8888888888889
1,0,0,0,0,5417,0.0,168.0,360.0,1.0,2,1,5417.0,0.031013476093778844,466.6666666666667
1,0,0,0,1,6950,0.0,175.0,180.0,1.0,1,1,6950.0,0.025179856115107913,972.2222222222222
1,1,0,0,0,2698,2034.0,122.0,360.0,1.0,1,1,4732.0,0.02578191039729501,338.8888888888889
1,1,2,0,0,11757,0.0,187.0,180.0,1.0,2,1,11757.0,0.01590541804882198,1038.888888888889
0,1,0,0,0,2330,4486.0,100.0,360.0,1.0,1,1,6816.0,0.014671361502347418,277.77777777777777
0,1,2,0,0,14866,0.0,70.0,360.0,1.0,2,1,14866.0,0.0047087313332436435,194.44444444444446
1,1,1,0,0,1538,1425.0,30.0,360.0,1.0,2,1,2963.0,0.010124873439082012,83.33333333333333
0,0,0,0,0,10000,1666.0,225.0,360.0,1.0,0,0,11666.0,0.019286816389507973,625.0
1,1,0,0,0,4860,830.0,125.0,360.0,1.0,1,1,5690.0,0.021968365553602813,347.22222222222223
1,0,0,0,0,6277,0.0,118.0,360.0,0.0,0,0,6277.0,0.018798789230524134,327.77777777777777
1,1,0,0,1,2577,3750.0,152.0,360.0,1.0,0,1,6327.0,0.024024024024024024,422.22222222222223
1,0,0,0,0,9166,0.0,244.0,360.0,1.0,2,0,9166.0,0.026620117826751038,677.7777777777778
1,1,2,1,0,2281,0.0,113.0,360.0,1.0,0,0,2281.0,0.049539675580885574,313.8888888888889
1,0,0,0,0,3254,0.0,50.0,360.0,1.0,2,1,3254.0,0.015365703749231715,138.88888888888889
1,1,3,0,0,39999,0.0,600.0,180.0,0.0,1,1,39999.0,0.015000375009375235,3333.3333333333335
1,1,1,0,0,6000,0.0,160.0,360.0,1.0,0,1,6000.0,0.02666666666666667,444.44444444444446
1,1,1,0,0,9538,0.0,187.0,360.0,1.0,2,1,9538.0,0.019605787376808556,519.4444444444445
1,0,0,0,0,2980,2083.0,120.0,360.0,1.0,0,1,5063.0,0.023701362828362632,333.3333333333333
1,1,0,0,0,4583,5625.0,255.0,360.0,1.0,1,1,10208.0,0.02498040752351097,708.3333333333334
1,1,0,1,0,1863,1041.0,98.0,360.0,1.0,1,1,2904.0,0.0337465564738292,272.22222222222223
1,1,0,0,0,7933,0.0,275.0,360.0,1.0,2,0,7933.0,0.03466532207235598,763.8888888888889
1,1,1,0,0,3089,1280.0,121.0,360.0,0.0,1,0,4369.0,0.027695124742504004,336.1111111111111
1,1,2,0,0,4167,1447.0,158.0,360.0,1.0,0,1,5614.0,0.028143925899536872,438.8888888888889
1,1,0,0,0,9323,0.0,75.0,180.0,1.0,2,1,9323.0,0.008044620830204869,416.6666666666667
1,1,0,0,0,3707,3166.0,182.0,360.0,1.0,0,1,6873.0,0.02648043067074058,505.55555555555554
0,1,0,0,0,4583,0.0,112.0,360.0,1.0,0,0,4583.0,0.02443814095570587,311.1111111111111
1,1,0,0,0,2439,3333.0,129.0,360.0,1.0,0,1,5772.0,0.02234927234927235,358.3333333333333
1,0,0,0,0,2237,0.0,63.0,480.0,0.0,1,0,2237.0,0.028162717925793473,131.25
1,1,2,0,0,8000,0.0,200.0,360.0,1.0,1,1,8000.0,0.025,555.5555555555555
1,1,0,1,0,1820,1769.0,95.0,360.0,1.0,0,1,3589.0,0.026469768737809974,263.8888888888889
1,1,3,0,0,51763,0.0,700.0,300.0,1.0,2,1,51763.0,0.013523172922744044,2333.3333333333335
1,1,3,1,0,3522,0.0,81.0,180.0,1.0,0,0,3522.0,0.022998296422487224,450.0
1,1,0,0,0,5708,5625.0,187.0,360.0,1.0,1,1,11333.0,0.016500485308391422,519.4444444444445
1,1,0,1,1,4344,736.0,87.0,360.0,1.0,1,0,5080.0,0.017125984251968505,241.66666666666666
1,1,0,0,0,3497,1964.0,116.0,360.0,1.0,0,1,5461.0,0.021241530855154733,322.22222222222223
1,1,2,0,0,2045,1619.0,101.0,360.0,1.0,0,1,3664.0,0.027565502183406112,280.55555555555554
1,1,3,0,0,5516,11300.0,495.0,360.0,0.0,1,0,16816.0,0.029436251189343482,1375.0
1,1,1,0,0,3750,0.0,116.0,360.0,1.0,1,1,3750.0,0.030933333333333334,322.22222222222223
1,0,0,1,0,2333,1451.0,102.0,480.0,0.0,2,0,3784.0,0.026955602536997886,212.5
1,1,1,0,0,6400,7250.0,180.0,360.0,0.0,2,0,13650.0,0.013186813186813187,500.0
1,0,0,0,0,1916,5063.0,67.0,360.0,1.0,0,0,6979.0,0.00960022925920619,186.11111111111111
1,1,0,0,0,4600,0.0,73.0,180.0,1.0,1,1,4600.0,0.015869565217391305,405.55555555555554
1,1,1,0,0,33846,0.0,260.0,360.0,1.0,1,0,33846.0,0.00768185309933227,722.2222222222222
0,1,0,0,0,3625,0.0,108.0,360.0,1.0,1,1,3625.0,0.029793103448275862,300.0
1,1,0,0,1,39147,4750.0,120.0,360.0,1.0,1,1,43897.0,0.0027336720049206094,333.3333333333333
1,1,1,0,1,2178,0.0,66.0,300.0,0.0,0,0,2178.0,0.030303030303030304,220.0
1,1,0,0,0,2383,2138.0,58.0,360.0,1.0,0,1,4521.0,0.012829020128290201,161.11111111111111
1,1,0,0,1,674,5296.0,168.0,360.0,1.0,0,1,5970.0,0.02814070351758794,466.6666666666667
1,1,0,0,0,9328,0.0,188.0,180.0,1.0,0,1,9328.0,0.020154373927958835,1044.4444444444443
1,0,0,1,0,4885,0.0,48.0,360.0,1.0,0,1,4885.0,0.009825997952917094,133.33333333333334
1,0,0,0,0,12000,0.0,164.0,360.0,1.0,1,0,12000.0,0.013666666666666667,455.55555555555554
1,1,0,1,0,6033,0.0,160.0,360.0,1.0,2,0,6033.0,0.026520802254268193,444.44444444444446
1,0,0,0,0,3858,0.0,76.0,360.0,1.0,1,1,3858.0,0.019699326075686883,211.11111111111111
1,0,0,0,0,4191,0.0,120.0,360.0,1.0,0,1,4191.0,0.02863278453829635,333.3333333333333
1,1,1,0,0,3125,2583.0,170.0,360.0,1.0,1,0,5708.0,0.029782761037140854,472.22222222222223
1,0,0,0,0,8333,3750.0,187.0,360.0,1.0,0,1,12083.0,0.015476289001075892,519.4444444444445
0,0,0,1,0,1907,2365.0,120.0,360.0,1.0,2,1,4272.0,0.028089887640449437,333.3333333333333
0,1,0,0,0,3416,2816.0,113.0,360.0,1.0,1,1,6232.0,0.01813222079589217,313.8888888888889
1,0,0,0,1,11000,0.0,83.0,360.0,1.0,2,0,11000.0,0.007545454545454545,230.55555555555554
1,1,1,1,0,2600,2500.0,90.0,360.0,1.0,1,1,5100.0,0.01764705882352941,250.0
1,0,2,0,0,4923,0.0,166.0,360.0,0.0,1,1,4923.0,0.03371927686370099,461.1111111111111
